,player_ids,player_names,player_birthdays,player_birthcities,player_birthcountries,player_nationalities,player_heights,player_weights,player_handedness,player_positions
2871,8448569,Jari Kurri,1960-05-18,Helsinki,FIN,FIN,"6' 1""",195,R,Right Wing
2740,8445118,Brent Ashton,1960-05-18,Saskatoon,CAN,CAN,"6' 1""",210,L,Left Wing
3322,8448269,Darren Jensen,1960-05-27,Creston,CAN,CAN,"5' 8""",165,L,Goalie
2768,8451883,Gaston Therrien,1960-05-27,Montréal,CAN,CAN,"5' 10""",180,R,Defenseman
2798,8455965,Bobby Crawford,1960-05-27,New York City,USA,USA,"5' 8""",180,L,Right Wing
3343,8451874,Jeffrey Teal,1960-05-30,Rochester,USA,USA,"6' 3""",205,NA,Center
2809,8444898,Greg Adams,1960-05-31,Victoria,CAN,CAN,"6' 0""",200,L,Left Wing
3937,8448548,Vladimir Krutov,1960-06-01,Moscow,RUS,RUS,"5' 9""",195,L,Left Wing
2677,8445603,Laurie Boschman,1960-06-04,Major,CAN,CAN,"6' 0""",185,L,Center
3231,8447805,Andre Hidi,1960-06-05,Toronto,CAN,CAN,"6' 2""",205,L,Left Wing
3083,8448847,Brian Lundberg,1960-06-05,Burnaby,CAN,CAN,"5' 10""",187,R,Defenseman
2904,8451697,Thomas Steen,1960-06-08,Grums,SWE,SWE,"5' 11""",190,L,Center
3150,8449111,Dan Mandich,1960-06-12,Brantford,CAN,CAN,"6' 2""",205,NA,Defenseman
2844,8446238,Doug Crossman,1960-06-13,Peterborough,CAN,CAN,"6' 2""",190,L,Defenseman
3583,8446418,Peter Dineen,1960-06-14,Kingston,CAN,CAN,"5' 11""",181,R,Defenseman
3019,8445455,Ken Berry,1960-06-21,Burnaby,CAN,CAN,"5' 9""",175,L,Left Wing
2854,8450221,Joe Paterson,1960-06-25,Toronto,CAN,CAN,"6' 2""",207,L,Left Wing
3056,8447701,Brian Hayward,1960-06-25,Weston,CAN,CAN,"5' 10""",180,L,Goalie
2789,8449547,Roland Melanson,1960-06-28,Moncton,CAN,CAN,"5' 10""",185,L,Goalie
3117,8448616,Randy Ladouceur,1960-06-30,Brockville,CAN,CAN,"6' 2""",220,L,Defenseman
3250,8448848,Hakan Loob,1960-07-03,Karlstad,SWE,SWE,"5' 9""",176,L,Right Wing
2770,8445353,Sandy Beadle,1960-07-12,Regina,CAN,CAN,"6' 2""",185,L,Left Wing
3217,8449495,Mike McPhee,1960-07-14,Sydney,CAN,CAN,"6' 1""",205,L,Left Wing
3428,8449624,Jay Miller,1960-07-16,Natick,USA,USA,"6' 2""",210,L,Left Wing
3523,8446013,Jay Caufield,1960-07-17,Philadelphia,USA,USA,"6' 4""",237,R,Right Wing
3180,8451236,Ron Scott,1960-07-21,Guelph,CAN,CAN,"5' 8""",154,L,Goalie
2969,8445167,Norm Aubin,1960-07-26,St. Leonard,CAN,CAN,"6' 0""",185,L,Center
3461,8448762,Jim Leavins,1960-07-28,Dinsmore,CAN,CAN,"5' 11""",185,L,Defenseman
2758,8449348,Tom McCarthy,1960-07-31,Toronto,CAN,CAN,"6' 2""",200,L,Left Wing
2762,8448117,Dale Hunter,1960-07-31,Petrolia,CAN,CAN,"5' 10""",200,L,Center
3289,8450497,Paul Pooley,1960-08-02,Exeter,CAN,CAN,"6' 0""",174,NA,Center
2793,8446162,Ed Cooper,1960-08-28,Loon Lake,CAN,CAN,"5' 10""",188,L,Left Wing
2840,8451922,Tim Tookey,1960-08-29,Edmonton,CAN,CAN,"5' 11""",185,L,Center
2824,8447684,Alan Haworth,1960-09-01,Drummondville,CAN,CAN,"5' 10""",190,R,Center
3827,8450233,Dusan Pasek,1960-09-07,Bratislava,SVK,SVK,"6' 0""",200,L,Center
2655,8449230,Paul Marshall,1960-09-07,Toronto,CAN,CAN,"6' 2""",182,NA,Left Wing
3015,8448118,Tim Hunter,1960-09-10,Calgary,CAN,CAN,"6' 2""",200,R,Right Wing
3135,8445269,Blair Barnes,1960-09-21,Windsor,CAN,CAN,"5' 11""",190,R,Right Wing
2868,8444945,Glenn Anderson,1960-10-02,Vancouver,CAN,CAN,"6' 1""",190,L,Right Wing
2682,8451958,Vincent Tremblay,1960-10-02,Quebec City,CAN,CAN,"6' 0""",180,L,Goalie
3076,8446828,Ross Fitzpatrick,1960-10-07,Penticton,CAN,CAN,"6' 0""",195,L,Center
2812,8446869,Ron Flockhart,1960-10-10,Smithers,CAN,CAN,"5' 11""",190,L,Center
3189,8448837,Darren Lowe,1960-10-13,Toronto,CAN,CAN,"5' 10""",189,R,Right Wing
3263,8448839,Doug Lidster,1960-10-18,Kamloops,CAN,CAN,"6' 1""",200,R,Defenseman
3417,8448491,Terry Kleisinger,1960-10-22,Regina,CAN,CAN,"6' 0""",189,L,Goalie
2867,8450303,Jim Peplinski,1960-10-24,Renfrew,CAN,CAN,"6' 3""",209,R,Left Wing
3756,8448830,Igor Liba,1960-11-04,Presov,SVK,SVK,"6' 0""",192,L,Left Wing
2792,8445725,Aaron Broten,1960-11-14,Roseau,USA,USA,"5' 10""",180,L,Center
2936,8446007,Lindsay Carson,1960-11-21,Oxbow,CAN,CAN,"6' 2""",195,L,Center
3512,8445937,Anders Carlsson,1960-11-25,Gävle,SWE,SWE,"5' 11""",185,L,Center
3034,8445662,Steve Bozek,1960-11-26,Kelowna,CAN,CAN,"5' 11""",180,L,Left Wing
2949,8445273,Dave Barr,1960-11-30,Toronto,CAN,CAN,"6' 1""",195,R,Right Wing
3938,8448669,Igor Larionov,1960-12-03,Voskresensk,RUS,RUS,"5' 11""",170,L,Center
2666,8450645,Mike Ramsey,1960-12-03,Minneapolis,USA,USA,"6' 3""",195,L,Defenseman
3028,8446635,Anders Eldebrink,1960-12-11,Kalix,SWE,SWE,"5' 11""",190,R,Defenseman
3175,8445690,Bob Brooke,1960-12-18,Melrose,USA,USA,"5' 11""",195,R,Right Wing
2649,8447188,Don Gillen,1960-12-24,Dodsland,CAN,CAN,"6' 3""",210,R,Right Wing
2658,8445621,Ray Bourque,1960-12-28,Montréal,CAN,CAN,"6' 0""",223,L,Defenseman
3053,8445901,Wade Campbell,1961-01-02,Peace River,CAN,CAN,"6' 4""",220,R,Defenseman
2928,8448614,Richard Laferriere,1961-01-03,Hawkesbury,CAN,CAN,"5' 8""",165,L,Goalie
2895,8449498,Basil McRae,1961-01-05,Beaverton,CAN,CAN,"6' 2""",210,L,Left Wing
3431,8451913,Michael Thelven,1961-01-07,Stockholm,SWE,SWE,"5' 11""",178,R,Defenseman
3080,8445796,Rod Buskas,1961-01-07,Wetaskiwin,CAN,CAN,"6' 1""",206,R,Defenseman
3094,8452449,Jim Wiemer,1961-01-09,Sudbury,CAN,CAN,"6' 4""",210,L,Defenseman
3160,8445457,Marc Behrend,1961-01-11,Madison,USA,USA,"6' 0""",185,L,Goalie
3035,8446737,Daryl Evans,1961-01-12,Toronto,CAN,CAN,"5' 9""",185,L,Right Wing
3174,8448020,Kelly Hrudey,1961-01-13,Edmonton,CAN,CAN,"5' 10""",190,L,Goalie
2732,8449573,Mark Messier,1961-01-18,Edmonton,CAN,CAN,"6' 2""",211,L,Center
2773,8449122,Moe Mantha,1961-01-21,Lakewood,USA,USA,"6' 2""",210,R,Defenseman
2982,8445557,Timo Blomqvist,1961-01-23,Helsinki,FIN,FIN,"6' 0""",200,R,Defenseman
3385,8450558,Christopher Pryor,1961-01-23,St. Paul,USA,USA,"6' 0""",200,R,Defenseman
2727,8447400,Wayne Gretzky,1961-01-26,Brantford,CAN,CAN,"6' 0""",185,L,Center
2765,8450953,Normand Rochefort,1961-01-28,Trois-Rivières,CAN,CAN,"6' 1""",214,L,Defenseman
3464,8451600,Ted Speers,1961-01-28,Ann Arbor,USA,USA,"5' 10""",189,R,Center
3221,8450311,Steve Penney,1961-02-02,Ste-Foy,CAN,CAN,"6' 0""",189,R,Goalie
