,player_ids,player_names,player_birthdays,player_birthcities,player_birthcountries,player_nationalities,player_heights,player_weights,player_handedness,player_positions
19,8447348,Jack Laviolette,1879-07-27,Belleville,CAN,CAN,"5' 11""",170,R,Defenseman
43,8449231,Ken Thompson,1881-05-29,Oakengates,GBR,GBR,"5' 10""",160,L,Left Wing
44,8450014,Bert Lindsay,1881-07-23,Garafraxa County,CAN,CAN,"5' 7""",160,R,Goalie
17,8446669,Joe Hall,1882-05-03,Staffordshire,GBR,GBR,"5' 10""",175,R,Defenseman
23,8448154,Didier Pitre,1883-09-01,Valleyfield,CAN,CAN,"5' 11""",185,R,Right Wing
210,8448095,Lester Patrick,1883-12-30,Drummondville,CAN,CAN,"6' 1""",180,L,Defenseman
51,8447037,Paul Jacobs,1884-03-09,Montréal,CAN,CAN,"5' 8""",160,L,Defenseman
29,8447616,Jack Marks,1885-06-11,Brantford,CAN,CAN,"6' 0""",180,L,Left Wing
125,8448584,Bobby Rowe,1885-08-19,Heathcote,CAN,CAN,"5' 6""",160,L,Right Wing
200,8450013,Hugh Lehman,1885-10-27,Pembroke,CAN,CAN,"5' 8""",168,L,Goalie
2,8445802,Rusty Crawford,1885-11-07,Cardinal,CAN,CAN,"5' 11""",165,L,Left Wing
8,8447848,Horace Merrill,1885-11-30,Ottawa,CAN,CAN,"5' 9""",176,L,Defenseman
40,8448456,Art Ross,1886-01-13,Naughton,CAN,CAN,"5' 11""",190,L,Defenseman
11,8449025,Hamby Shore,1886-02-12,Ottawa,CAN,CAN,"6' 0""",175,L,Defenseman
69,8449087,Tommy Smith,1886-09-27,Ottawa,CAN,CAN,"5' 6""",150,L,Center
24,8450137,Georges Vezina,1887-01-21,Chicoutimi,CAN,CAN,"5' 6""",185,L,Goalie
21,8447761,Jack McDonald,1887-02-28,Québec,CAN,CAN,"5' 10""",154,R,Left Wing
14,8445071,Louis Berlinquette,1887-05-26,Papineau,CAN,CAN,"5' 11""",175,L,Left Wing
50,8445914,Fred Doherty,1887-08-15,Norwood,CAN,CAN,"5' 8""",160,L,Right Wing
22,8448119,Evariste Payer,1887-12-12,Rockland,CAN,CAN,"5' 6""",150,L,Center
54,8449072,Don Smith,1888-06-03,Cornwall,CAN,CAN,"5' 7""",160,L,Left Wing
18,8447289,Newsy Lalonde,1888-10-31,Cornwall,CAN,CAN,"5' 9""",168,R,Center
233,8449310,Jack Walker,1888-11-29,Silver Mountain,CAN,CAN,"5' 8""",153,L,Left Wing
33,8448246,Ken Randall,1888-12-14,Kingston,CAN,CAN,"5' 10""",180,R,Right Wing
6,8447013,Harry Hyland,1889-01-02,Montréal,CAN,CAN,"5' 6""",156,R,Right Wing
35,8449841,Art Brooks,1889-02-04,Guelph,CAN,CAN,"5' 9""",170,R,Goalie
47,8448441,Skene Ronan,1889-02-09,Ottawa,CAN,CAN,"5' 6""",150,L,Defenseman
31,8447907,Harry Mummery,1889-08-25,Chicago,USA,USA,"5' 11""",220,L,Defenseman
73,8447765,Moylan McDonnell,1889-08-27,Stony Mountain,CAN,CAN,"5' 9""",145,R,Defenseman
41,8449048,Raymie Skilton,1889-09-26,Cambridge,USA,USA,"5' 10""",190,R,Defenseman
26,8445314,Harry Cameron,1890-02-06,Pembroke,CAN,CAN,"5' 10""",155,R,Defenseman
5,8446581,Eddie Gerard,1890-02-22,Ottawa,CAN,CAN,"5' 9""",168,L,Left Wing
20,8447594,Joe Malone,1890-02-28,Quebec City,CAN,CAN,"5' 10""",150,L,Center
46,8445497,Sprague Cleghorn,1890-03-11,Montréal,CAN,CAN,"5' 10""",190,L,Defenseman
116,8445536,Lloyd Cook,1890-03-21,Lynden,CAN,CAN,"6' 0""",170,L,Defenseman
65,8445330,Ed Carpenter,1890-06-15,Hartford,USA,USA,"6' 0""",170,R,Defenseman
123,8447890,Bernie Morris,1890-08-21,Regina,CAN,CAN,"5' 7""",145,R,Center
119,8446716,Smokey Harris,1890-10-11,Port Arthur,CAN,CAN,"5' 11""",165,L,Left Wing
3,8445844,Jack Darragh,1890-12-04,Ottawa,CAN,CAN,"5' 10""",168,R,Right Wing
226,8446463,Frank Foyston,1891-02-02,Minesing,CAN,CAN,"5' 9""",158,L,Center
236,8446564,Herb Gardiner,1891-05-08,Winnipeg,CAN,CAN,"5' 10""",190,L,Defenseman
133,8447641,Johnny Matz,1891-06-01,Omaha,USA,USA,NA,NA,R,Center
39,8448052,George O'Grady,1891-06-08,Montréal,CAN,CAN,"5' 8""",175,L,Defenseman
13,8445044,Billy Bell,1891-06-10,Lachine,CAN,CAN,"5' 10""",180,R,Center
225,8445962,Art Duncan,1891-07-04,Sault Ste. Marie,CAN,CAN,"6' 1""",190,R,Defenseman
7,8447522,Ed Lowrey,1891-08-13,Manotick,CAN,CAN,"5' 6""",160,R,Center
49,8445496,Odie Cleghorn,1891-09-19,Montréal,CAN,CAN,"5' 9""",195,R,Right Wing
58,8448212,Goldie Prodgers,1891-10-18,London,CAN,CAN,"5' 10""",180,R,Center
4,8445874,Cy Denneny,1891-12-23,Farran's Point,CAN,CAN,"5' 7""",168,L,Left Wing
56,8446761,Frank Heffernan,1892-01-12,Peterborough,CAN,CAN,"6' 0""",210,L,Defenseman
10,8448336,Dave Ritchie,1892-01-12,Montréal,CAN,CAN,"5' 7""",180,R,Defenseman
37,8449997,Hap Holmes,1892-02-21,Aurora,CAN,CAN,"5' 10""",170,L,Goalie
16,8445744,Billy Coutu,1892-03-01,North Bay,CAN,CAN,"5' 11""",190,L,Defenseman
214,8450150,Hal Winkler,1892-03-20,Gretna,CAN,CAN,"5' 8""",150,L,Goalie
80,8445131,Edmond Bouchard,1892-05-24,St-Etienne,CAN,CAN,"5' 10""",185,L,Left Wing
74,8448315,Leo Reise Sr.,1892-06-01,Pembroke,CAN,CAN,"5' 11""",175,R,Defenseman
60,8449551,Cully Wilson,1892-06-05,Winnipeg,CAN,CAN,"5' 8""",180,R,Right Wing
27,8445740,Jack Coughlin,1892-06-06,Douro,CAN,CAN,"5' 10""",170,R,Right Wing
45,8445168,Punch Broadbent,1892-07-13,Ottawa,CAN,CAN,"5' 7""",183,R,Right Wing
191,8447020,Dick Irvin,1892-07-19,Hamilton,CAN,CAN,"5' 9""",162,L,Center
107,8446616,Ed Gorman,1892-09-25,Buckingham,CAN,CAN,"6' 0""",180,L,Defenseman
12,8449817,Clint Benedict,1892-09-26,Ottawa,CAN,CAN,"6' 0""",165,L,Goalie
129,8449920,Hec Fowler,1892-10-14,Saskatoon,CAN,CAN,"5' 11""",190,L,Goalie
64,8445326,George Carey,1892-11-04,Glasgow,GBR,GBR,"5' 6""",140,R,Right Wing
256,8449156,Barney Stanley,1893-01-01,Paisley,CAN,CAN,"6' 0""",175,L,Right Wing
135,8446300,Alvin Fisher,1893-01-05,Sault Ste. Marie,CAN,CAN,"6' 1""",175,R,Right Wing
9,8448011,Frank Nighbor,1893-01-26,Pembroke,CAN,CAN,"5' 9""",160,R,Center
42,8449181,Phil Stevens,1893-02-15,St. Lambert,CAN,CAN,"5' 11""",165,R,Center
57,8447637,Joe Matte,1893-03-06,Bourget,CAN,CAN,"5' 11""",165,R,Defenseman
67,8447796,Fred McLean,1893-03-16,Lakeville Corner,CAN,CAN,"6' 2""",200,L,Defenseman
66,8447674,Thomas McCarthy,1893-04-12,Hamilton,CAN,CAN,"5' 11""",165,R,Right Wing
136,8447655,Bert McCaffrey,1893-04-12,Chesley,CAN,CAN,"5' 10""",180,R,Right Wing
63,8450044,Ivan Mitchell,1893-07-09,Winnipeg,CAN,CAN,"6' 0""",180,L,Goalie
53,8447815,Howard McNamara,1893-08-03,Randolph,CAN,CAN,"6' 0""",240,L,Defenseman
70,8449382,Alex Wellington,1893-08-04,Port Arthur,CAN,CAN,NA,NA,R,Right Wing
185,8449045,Joe Simpson,1893-08-13,Selkirk,CAN,CAN,"5' 10""",175,R,Defenseman
118,8445743,John Ingram,1893-12-19,Halifax,CAN,CAN,"5' 11""",170,L,Center
322,8445127,Helge Bostrom,1894-01-09,Gimli,CAN,CAN,"5' 8""",185,L,Defenseman
28,8445873,Corb Denneny,1894-01-25,Cornwall,CAN,CAN,"5' 8""",160,R,Center
15,8445571,Bert Corbeau,1894-02-09,Penetanguishene,CAN,CAN,"5' 11""",200,R,Defenseman
1,8445191,Morley Bruce,1894-03-07,North Gower,CAN,CAN,"5' 9""",170,R,Defenseman
36,8449990,Sammy Hebert,1894-03-31,Ottawa,CAN,CAN,"5' 10""",145,R,Goalie
114,8445061,Bobby Benson,1894-05-18,Winnipeg,CAN,CAN,"5' 6""",135,L,Defenseman
192,8447545,Mickey MacKay,1894-05-25,Chelsea,CAN,CAN,"5' 9""",162,L,Center
112,8447323,Charlie Langlois,1894-08-25,Lotbiniere,CAN,CAN,"6' 0""",210,R,Right Wing
88,8446767,Harry Helman,1894-08-28,Ottawa,CAN,CAN,"5' 6""",145,R,Right Wing
72,8446629,Leth Graham,1894-10-10,Ottawa,CAN,CAN,"5' 9""",150,L,Left Wing
86,8449145,Ted Stackhouse,1894-11-02,Wolfville,CAN,CAN,"6' 1""",200,R,Defenseman
30,8447832,Harry Meeking,1894-11-04,Berlin,CAN,CAN,"5' 7""",160,L,Left Wing
82,8444936,Lloyd Andrews,1894-11-04,Tillsonburg,CAN,CAN,NA,149,L,Left Wing
230,8447517,Clem Loughlin,1894-11-15,Carroll,CAN,CAN,"6' 0""",180,L,Defenseman
48,8444956,Amos Arbour,1895-01-26,Waubaushene,CAN,CAN,"5' 8""",160,L,Left Wing
151,8445955,Herb Drury,1895-03-02,Midland,CAN,USA,"5' 7""",165,R,Defenseman
184,8447896,John Morrison,1895-03-04,Selkirk,CAN,CAN,"5' 8""",163,R,Left Wing
221,8447143,Duke Keats,1895-03-21,Montréal,CAN,CAN,"5' 11""",195,R,Center
62,8450017,Howard Lockhart,1895-03-21,North Bay,CAN,CAN,"5' 8""",180,L,Goalie
239,8447887,Amby Moran,1895-04-03,Winnipeg,CAN,CAN,"6' 0""",200,L,Defenseman
113,8447794,Alex McKinnon,1895-04-17,Sault Ste. Marie,CAN,CAN,"5' 8""",175,R,Right Wing
85,8449075,Glenn Smith,1895-04-25,Meaford,CAN,CAN,"5' 8""",180,L,Defenseman
59,8448349,Mickey Roach,1895-05-01,Boston,USA,USA,"5' 6""",158,L,Center
219,8446493,Frank Fredrickson,1895-06-11,Winnipeg,CAN,CAN,"5' 11""",180,L,Center
25,8444861,Jack Adams,1895-06-14,Fort William,CAN,CAN,"5' 9""",175,R,Center
241,8449987,George Hainsworth,1895-06-26,Toronto,CAN,CAN,"5' 6""",150,L,Goalie
76,8449090,Rod Smylie,1895-09-28,Toronto,CAN,CAN,"5' 10""",170,R,Left Wing
130,8450120,Charles Stewart,1895-11-13,Carleton Place,CAN,CAN,"5' 7""",140,L,Goalie
280,8448244,Beattie Ramsay,1895-12-12,Lumsden,CAN,CAN,"5' 7""",143,L,Defenseman
122,8447876,Herb Mitchell,1896-01-04,Meaford,CAN,CAN,"5' 10""",190,L,Left Wing
34,8449049,Alf Skinner,1896-01-26,Toronto,CAN,CAN,"5' 10""",180,R,Right Wing
251,8445189,Cecil Browne,1896-02-13,St. James,CAN,CAN,"6' 0""",165,L,Left Wing
105,8447518,Wilf Loughlin,1896-02-28,Carroll,CAN,CAN,"6' 2""",200,L,Defenseman
52,8447791,Jack MacKell,1896-04-12,Ottawa,CAN,CAN,"5' 7""",150,R,Right Wing
75,8445317,Dave Campbell,1896-04-27,Lachute,CAN,CAN,"6' 0""",200,L,Defenseman
32,8448013,Reg Noble,1896-06-23,Collingwood,CAN,CAN,"5' 8""",180,L,Center
216,8444967,Ty Arbour,1896-06-29,Waubaushene,CAN,CAN,"5' 7""",160,L,Left Wing
98,8446644,Shorty Green,1896-07-17,Sudbury,CAN,CAN,"5' 10""",152,R,Right Wing
154,8449082,Rodger Smith,1896-07-26,Ottawa,CAN,CAN,"6' 0""",175,L,Defenseman
38,8446580,Gerry Geran,1896-08-03,Holyoke,USA,USA,"5' 9""",180,R,Center
0,8445135,George Boucher,1896-08-19,Ottawa,CAN,CAN,"5' 9""",169,L,Defenseman
199,8449254,Percy Traub,1896-08-23,Elmwood,CAN,CAN,"5' 9""",175,L,Defenseman
205,8445529,Bill Cook,1896-10-09,Brantford,CAN,CAN,"5' 10""",170,R,Right Wing
290,8445143,Clarence Boucher,1896-11-01,North Bay,CAN,CAN,"6' 1""",195,L,Defenseman
101,8445312,Billy Cameron,1896-12-05,Timmins,CAN,CAN,"5' 11""",160,L,Right Wing
158,8445152,John Brackenborough,1897-02-09,Parry Sound,CAN,CAN,"5' 11""",170,L,Left Wing
288,8450144,Flat Walsh,1897-03-23,Kingston,CAN,CAN,"5' 11""",180,L,Goalie
68,8447816,George McNaughton,1897-04-04,Gaspe,CAN,CAN,"5' 9""",150,R,Right Wing
310,8449897,Dolly Dolson,1897-05-23,Hespeler,CAN,CAN,"5' 7""",160,L,Goalie
195,8448332,Jim Riley,1897-05-25,Bayfield,CAN,CAN,"5' 11""",180,L,Left Wing
115,8445340,George Carroll,1897-06-03,Moncton,CAN,CAN,"6' 2""",210,R,Defenseman
271,8445488,Nobby Clark,1897-06-18,Orillia,CAN,CAN,"6' 1""",190,R,Defenseman
61,8449918,Jake Forbes,1897-07-04,Toronto,CAN,CAN,"5' 6""",140,L,Goalie
96,8446492,Charles Fraser,1897-07-22,Stellarton,CAN,CAN,NA,NA,L,Defenseman
173,8444851,Gordon Spence,1897-07-25,Haileybury,CAN,CAN,"5' 7""",150,L,Left Wing
235,8446514,Art Gagne,1897-10-11,Ottawa,CAN,CAN,"5' 7""",160,R,Right Wing
171,8450012,Frenchy Lacroix,1897-10-21,Newton,USA,USA,"5' 7""",136,L,Goalie
121,8446785,Jimmy Herberts,1897-10-31,Cayuga,CAN,CAN,"5' 10""",185,R,Center
143,8447912,Gerry Munro,1897-11-28,Sault Ste. Marie,CAN,CAN,"5' 10""",175,L,Defenseman
84,8448030,Paddy Nolan,1897-12-01,Charlottetown,CAN,CAN,"5' 8""",170,L,Left Wing
167,8447465,Hec Lepine,1897-12-07,Ste-Anne-de-Bellevue,CAN,CAN,"5' 11""",185,R,Center
190,8446750,George Hay,1898-01-10,Listowel,CAN,CAN,"5' 10""",155,L,Left Wing
194,8447827,Charley McVeigh,1898-03-29,Kenora,CAN,CAN,"5' 6""",145,L,Center
131,8447111,Rene Joliat,1898-04-25,Ottawa,CAN,CAN,"5' 5""",140,L,Right Wing
204,8445187,Stan Brown,1898-05-09,North Bay,CAN,CAN,"5' 10""",150,L,Defenseman
55,8445972,Babe Dye,1898-05-13,Hamilton,CAN,CAN,"5' 8""",150,R,Right Wing
203,8445148,Billy Boyd,1898-05-15,Belleville,CAN,CAN,"5' 10""",185,R,Right Wing
186,8450000,Joe Ironstone,1898-06-28,Sudbury,CAN,CAN,"5' 6""",180,R,Goalie
217,8447779,Mickey McGuire,1898-07-07,Gravenhurst,CAN,CAN,"5' 10""",158,L,Left Wing
218,8445162,Archie Briden,1898-07-16,Renfrew,CAN,CAN,"5' 8""",170,L,Left Wing
283,8445969,Red Dutton,1898-07-23,Russell,CAN,CAN,"6' 0""",185,R,Defenseman
83,8447035,Stan Jackson,1898-08-27,Parrsboro,CAN,CAN,"6' 0""",180,L,Left Wing
128,8449129,Emory Sparrow,1898-09-15,Hartney,CAN,CAN,"5' 11""",180,L,Right Wing
347,8450050,Mickey Murray,1898-10-14,Peterborough,CAN,CAN,"5' 10""",168,R,Goalie
222,8448055,Harry Oliver,1898-10-26,Selkirk,CAN,CAN,"5' 8""",155,R,Right Wing
144,8448087,Ernie Parkes,1898-11-04,Dunnville,CAN,CAN,"5' 10""",150,R,Right Wing
220,8446558,Percy Galbraith,1898-12-05,Toronto,CAN,CAN,"5' 10""",162,L,Left Wing
207,8447098,Ivan Johnson,1898-12-07,Winnipeg,CAN,CAN,"5' 11""",210,L,Defenseman
146,8445959,John Duggan,1898-12-17,Ottawa,CAN,CAN,"5' 8""",185,L,Left Wing
428,8445850,Bob Davis,1899-02-02,Lachine,CAN,CAN,"6' 0""",202,R,Right Wing
127,8449002,Norm Shay,1899-02-03,Huntsville,CAN,CAN,"5' 9""",158,L,Defenseman
249,8448226,Al Pudas,1899-02-17,Siikajoki,FIN,FIN,"5' 10""",160,R,Right Wing
138,8448310,Reg Reid,1899-02-17,Seaforth,CAN,CAN,"5' 8""",138,L,Left Wing
224,8444964,Jack Arbour,1899-03-07,Waubaushene,CAN,CAN,"5' 8""",172,L,Defenseman
164,8446897,Bill Holmes,1899-03-09,Portage la Prairie,CAN,CAN,"6' 0""",200,R,Center
132,8447272,Roland Lafleur,1899-03-21,Ottawa,CAN,CAN,"5' 6""",145,L,Left Wing
139,8445308,Francis Cain,1899-03-22,Newmarket,CAN,CAN,"5' 8""",175,L,Defenseman
234,8450121,Herb Stuart,1899-03-30,Brantford,CAN,CAN,"5' 6""",175,L,Goalie
153,8447859,Hib Milks,1899-04-01,Eardley,CAN,CAN,"5' 11""",165,L,Left Wing
179,8448141,Merlyn Phillips,1899-05-24,Richmond Hill,CAN,CAN,"5' 7""",160,R,Center
262,8446641,Alex Gray,1899-06-21,Glasgow,GBR,GBR,"5' 10""",170,R,Right Wing
117,8445541,Carson Cooper,1899-07-17,Cornwall,CAN,CAN,"5' 7""",160,R,Right Wing
183,8446665,Bob Hall,1899-10-13,Oak Park,USA,USA,"5' 8""",165,L,Left Wing
145,8448462,Sam Rothschild,1899-10-16,Sudbury,CAN,CAN,"5' 6""",145,L,Left Wing
81,8445133,Billy Boucher,1899-11-10,Ottawa,CAN,CAN,"5' 7""",155,R,Right Wing
97,8446643,Red Green,1899-12-12,Sudbury,CAN,CAN,"5' 8""",148,L,Left Wing
198,8449253,Bob Trapp,1899-12-16,Pembroke,CAN,CAN,"5' 10""",170,L,Defenseman
228,8446662,Harold Halderson,1900-01-06,Winnipeg,CAN,CAN,"6' 3""",200,R,Defenseman
172,8450099,Herb Rheaume,1900-01-12,Mason,CAN,CAN,"6' 0""",200,L,Goalie
77,8449199,Billy Stuart,1900-02-01,Sackville,CAN,CAN,"5' 11""",190,L,Defenseman
111,8445644,Charlie Cotch,1900-02-21,Sarnia,CAN,CAN,"5' 11""",175,L,Left Wing
383,8445818,Stan Crossett,1900-04-18,Tillsonburg,CAN,CAN,"6' 0""",200,R,Defenseman
227,8446613,Fred Gordon,1900-05-06,Fleming,CAN,CAN,"5' 10""",185,R,Right Wing
208,8447573,Reg Mackey,1900-05-07,Ottawa,CAN,CAN,"5' 7""",155,L,Defenseman
201,8444855,Clarence Abel,1900-05-28,Sault Ste. Marie,USA,USA,"6' 1""",225,L,Defenseman
152,8447741,Duke McCurry,1900-06-13,Toronto,CAN,CAN,"5' 8""",160,L,Left Wing
329,8448237,Leo Quenneville,1900-06-15,St-Anicet,CAN,CAN,"5' 10""",170,L,Left Wing
263,8448949,Laurie Scott,1900-06-19,South River,CAN,CAN,"5' 6""",155,L,Left Wing
87,8450103,John Ross Roach,1900-06-23,Port Perry,CAN,CAN,"5' 5""",130,L,Goalie
155,8449392,Tex White,1900-06-26,Hillsborough,CAN,CAN,"5' 11""",155,R,Right Wing
356,8445885,Vic Desjardins,1900-07-04,Sault Ste. Marie,USA,USA,"5' 9""",160,R,Center
94,8445319,Earl Campbell,1900-07-23,Buckingham,CAN,CAN,"5' 11""",166,L,Defenseman
71,8449843,Frank Brophy,1900-08-09,Quebec City,CAN,CAN,"5' 6""",150,L,Goalie
282,8445183,Fred Brown,1900-09-15,Kingston,CAN,CAN,"5' 8""",155,L,Left Wing
213,8449850,Lorne Chabot,1900-10-05,Montréal,CAN,CAN,"6' 1""",185,L,Goalie
264,8450043,Joe Miller,1900-10-06,Morrisburg,CAN,CAN,"5' 9""",170,L,Goalie
156,8450153,Roy Worters,1900-10-19,Toronto,CAN,CAN,"5' 3""",135,L,Goalie
90,8445255,Billy Burch,1900-11-20,Yonkers,USA,USA,"6' 0""",200,L,Center
244,8445345,Bill Carson,1900-11-25,Bracebridge,CAN,CAN,"5' 8""",158,L,Center
316,8446857,Henry Hicks,1900-12-10,Sillery,CAN,CAN,"5' 7""",170,L,Defenseman
253,8446891,Val Hoffinger,1901-01-01,Seltz,RUS,RUS,"5' 6""",190,L,Defenseman
99,8449141,Jesse Spring,1901-01-18,Alba,USA,USA,"6' 0""",185,L,Defenseman
142,8447908,Dunc Munro,1901-01-19,Moray,GBR,CAN,"5' 8""",190,L,Defenseman
303,8448078,George Owen,1901-02-12,Hamilton,CAN,CAN,"5' 11""",190,L,Defenseman
161,8447329,Bonner Larose,1901-02-14,Ottawa,CAN,CAN,"5' 8""",170,R,Left Wing
120,8446755,Fern Headley,1901-03-02,Crystal,USA,USA,"5' 11""",175,L,Defenseman
196,8448429,Eddie Rodden,1901-03-22,Mattawa,CAN,CAN,"5' 7""",150,R,Center
401,8446954,Albert Hughes,1901-05-13,Guelph,CAN,CAN,"5' 9""",165,R,Center
148,8445514,Lionel Conacher,1901-05-24,Toronto,CAN,CAN,"6' 2""",195,L,Defenseman
134,8445854,Hap Day,1901-06-14,Owen Sound,CAN,CAN,"5' 11""",175,L,Defenseman
193,8447771,Gord McFarlane,1901-07-18,Snow Lake,CAN,CAN,"6' 2""",180,R,Right Wing
168,8447466,Pit Lepine,1901-07-30,Ste-Anne-de-Bellevue,CAN,CAN,"5' 11""",168,L,Center
211,8448314,Ollie Reinikka,1901-08-02,Shuswap,CAN,CAN,"5' 10""",160,R,Center
91,8447110,Aurel Joliat,1901-08-29,Ottawa,CAN,CAN,"5' 7""",136,L,Left Wing
78,8445134,Frank Boucher,1901-10-07,Ottawa,CAN,CAN,"5' 9""",185,L,Center
174,8445047,Pete Bellefeuille,1901-10-19,Trois-Rivières,CAN,CAN,"5' 10""",180,R,Right Wing
243,8445203,Bill Brydge,1901-10-22,Renfrew,CAN,CAN,"5' 9""",195,R,Defenseman
89,8446886,Lionel Hitchman,1901-11-03,Toronto,CAN,CAN,"6' 1""",167,L,Defenseman
189,8446489,Gord Fraser,1902-01-03,Pembroke,CAN,CAN,"6' 0""",180,L,Defenseman
265,8445442,Gene Chouinard,1902-01-05,Ottawa,CAN,CAN,"5' 6""",160,L,Defenseman
176,8445346,Frank Carson,1902-01-12,Bracebridge,CAN,CAN,"5' 7""",165,R,Right Wing
325,8449126,Art Somers,1902-01-19,Winnipeg,CAN,CAN,"5' 5""",167,L,Center
110,8449856,Alec Connell,1902-02-08,Ottawa,CAN,CAN,"5' 9""",150,R,Goalie
108,8449059,Alex Smith,1902-04-02,Liverpool,GBR,GBR,"5' 11""",176,L,Defenseman
102,8447606,Sylvio Mantha,1902-04-14,Montréal,CAN,CAN,"5' 10""",178,R,Defenseman
254,8447671,Eddie McCalmon,1902-05-30,Varney,CAN,CAN,"5' 8""",170,R,Right Wing
229,8446727,Gizzy Hart,1902-06-01,Weyburn,CAN,CAN,"5' 9""",171,L,Left Wing
169,8447795,John McKinnon,1902-07-15,Guysborough,CAN,CAN,"5' 8""",170,R,Defenseman
92,8445882,Gerry Denoird,1902-08-04,Toronto,CAN,CAN,"5' 10""",170,R,Center
141,8447521,Fred Lowrey,1902-08-12,Ottawa,CAN,CAN,"5' 9""",155,R,Right Wing
188,8445968,Duke Dukowski,1902-08-30,Regina,CAN,CAN,"5' 10""",185,L,Defenseman
170,8448101,Rollie Paulhus,1902-09-01,Montréal,CAN,CAN,"5' 8""",185,L,Defenseman
389,8446931,Rolly Huard,1902-09-06,Ottawa,CAN,CAN,"5' 10""",170,L,Center
150,8445843,Harold Darragh,1902-09-13,Ottawa,CAN,CAN,"5' 10""",145,R,Left Wing
103,8447888,Howie Morenz,1902-09-21,Mitchell,CAN,CAN,"5' 9""",165,L,Center
351,8448140,Bill Phillips,1902-09-23,Carleton Place,CAN,CAN,"5' 10""",163,L,Center
104,8446907,Albert Holway,1902-09-24,Belleville,CAN,CAN,"6' 2""",190,L,Defenseman
238,8447283,Leo Lafrance,1902-11-03,Allumette,CAN,CAN,"5' 8""",160,L,Left Wing
149,8445648,Baldy Cotton,1902-11-05,Nanticoke,CAN,CAN,"5' 10""",155,L,Left Wing
166,8447371,Albert Leduc,1902-11-22,Valleyfield,CAN,CAN,"5' 9""",180,R,Defenseman
223,8449024,Eddie Shore,1902-11-25,Fort Qu'Appelle,CAN,CAN,"5' 11""",190,R,Defenseman
181,8449189,Nels Stewart,1902-12-29,Montréal,CAN,CAN,"6' 1""",195,L,Center
109,8449077,Hooley Smith,1903-01-07,Toronto,CAN,CAN,"5' 10""",155,R,Center
202,8445142,Leo Bourgeault,1903-01-17,Sturgeon Falls,CAN,CAN,"5' 6""",165,L,Defenseman
106,8449133,Chris Speyer,1903-02-06,Toronto,CAN,CAN,"5' 10""",170,L,Defenseman
301,8446144,Fred Elliott,1903-02-18,Clinton,CAN,CAN,"5' 8""",165,R,Right Wing
79,8445471,King Clancy,1903-02-25,Ottawa,CAN,CAN,"5' 7""",155,L,Defenseman
124,8448297,George Redding,1903-03-06,Peterborough,CAN,CAN,"5' 7""",145,L,Left Wing
93,8448948,Ganton Scott,1903-03-23,Preston,CAN,CAN,"5' 9""",165,R,Right Wing
126,8448934,Werner Schnarr,1903-03-23,Berlin,CAN,CAN,"5' 7""",145,L,Center
291,8446877,Normie Himes,1903-04-13,Galt,CAN,CAN,"5' 9""",145,R,Center
352,8449467,Archie Wilcox,1903-05-09,Montréal,CAN,CAN,"5' 11""",195,L,Right Wing
306,8450127,Tiny Thompson,1903-05-31,Sandon,CAN,CAN,"5' 10""",160,L,Goalie
242,8444998,Ace Bailey,1903-07-03,Bracebridge,CAN,CAN,"5' 10""",160,R,Right Wing
446,8445049,Andy Bellemer,1903-07-03,Penetanguishene,CAN,CAN,"5' 11""",185,L,Defenseman
95,8446298,Frank Finnigan,1903-07-09,Shawville,CAN,CAN,"5' 9""",165,R,Right Wing
232,8449007,Johnny Sheppard,1903-07-23,Montréal,CAN,CAN,"5' 7""",165,L,Left Wing
140,8445911,Chuck Dinsmore,1903-07-23,Toronto,CAN,CAN,"5' 6""",155,L,Center
206,8445535,Fred Cook,1903-09-18,Kingston,CAN,CAN,"5' 11""",180,L,Left Wing
245,8445762,Danny Cox,1903-10-12,Little Current,CAN,CAN,"5' 10""",180,L,Left Wing
258,8449366,Nick Wasnie,1904-01-01,Winnipeg,CAN,CAN,"5' 11""",174,R,Right Wing
159,8445306,Charles Cahill,1904-01-04,Summerside,CAN,CAN,"5' 10""",180,R,Right Wing
180,8449038,Babe Siebert,1904-01-14,Plattsville,CAN,CAN,"5' 10""",182,L,Left Wing
337,8447602,Rennison Manners,1904-02-05,Ottawa,CAN,CAN,"5' 11""",160,L,Center
178,8447216,Hobie Kitchen,1904-02-08,Toronto,CAN,CAN,"5' 11""",187,L,Defenseman
100,8445136,Bobby Boucher,1904-02-14,Ottawa,CAN,CAN,"5' 8""",142,R,Center
435,8449787,Andy Aitkenhead,1904-03-06,Glasgow,GBR,GBR,"5' 9""",145,L,Goalie
273,8446557,Dutch Gainor,1904-04-10,Calgary,CAN,CAN,"6' 1""",170,L,Center
448,8448159,Hugh Plaxton,1904-05-16,Barrie,CAN,CAN,"5' 10""",184,L,Left Wing
182,8445109,Rene Boileau,1904-05-18,Pointe-Claire,CAN,CAN,"5' 10""",160,L,Center
209,8447913,Murray Murdoch,1904-05-19,Lucknow,CAN,CAN,"5' 10""",180,L,Left Wing
395,8447828,Jack McVicar,1904-06-04,Renfrew,CAN,CAN,"6' 0""",160,R,Defenseman
388,8446674,Herb Hamel,1904-06-08,New Hamburg,CAN,CAN,"5' 11""",155,R,Right Wing
177,8446914,George Horne,1904-06-27,Sudbury,CAN,CAN,"5' 6""",165,R,Right Wing
